Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Car_Passenger
A201201BS70237,1,1,1,1,45,3,0
A201201BS70238,2,1,1,1,29,3,0
A201201BS70239,1,1,1,1,26,3,0
A201201BS70241,2,1,1,2,27,3,0
A201201BS70242,2,1,1,1,38,2,0
A201201BS70245,2,1,1,1,40,3,0
A201201BS70254,2,1,1,2,66,3,0
A201201BS70259,1,1,1,1,38,3,0
A201201BS70260,1,1,1,1,23,3,0
A201201BS70263,1,1,1,1,47,3,0
A201201BS70265,2,1,1,1,34,3,0
A201201BS70268,1,1,1,2,35,3,0
A201201BS70270,1,1,1,1,28,3,0
A201201BS70274,1,1,1,1,20,3,0
A201201BS70276,2,1,1,1,26,3,0
A201201BS70279,2,1,1,1,41,3,0
A201201BS70281,2,1,1,2,38,3,0
A201201BS70283,1,1,1,2,38,3,0
A201201BS70286,2,1,1,2,45,3,0
A201201BS70287,1,1,1,1,45,3,0
A201201BS70289,2,1,1,2,30,2,0
A201201BS70290,1,1,1,1,31,3,0
A201201BS70291,2,1,1,1,29,3,0
A201201BS70292,1,1,1,1,46,2,0
A201201BS70293,1,1,1,1,26,3,0
A201201BS70294,2,1,1,1,22,3,0
A201201BS70295,1,1,1,1,39,3,0
A201201BS70296,2,1,1,2,35,3,0
A201201BS70297,1,1,1,2,46,3,0
A201201BS70298,1,1,1,1,34,3,0
A201201BS70300,1,1,1,1,35,3,0
A201201BS70302,1,1,1,2,29,3,0
A201201BS70303,2,1,1,1,24,3,0
A201201BS70304,2,1,1,1,31,3,0
A201201BS70305,1,1,1,2,33,3,0
A201201BS70306,1,1,1,1,39,3,0
A201201BS70308,1,1,3,1,40,3,0
A201201BS70312,2,1,1,1,42,3,0
A201201BS70314,2,1,1,1,28,3,0
A201201BS70315,2,1,1,1,25,3,0
A201201BS70318,1,1,1,1,38,3,0
A201201BS70319,2,1,1,2,21,3,0
A201201BS70320,1,1,1,1,30,3,0
A201201BS70324,2,1,1,1,36,3,0
A201201BS70326,1,1,1,1,41,3,0
A201201BS70327,1,1,1,1,-1,3,0
A201201BS70328,2,1,1,2,32,3,0
A201201BS70329,2,1,1,1,23,3,0
A201201BS70331,1,1,1,1,24,3,0
A201201BS70332,2,1,1,1,34,3,0
A201201BS70333,2,1,1,1,51,3,0
A201201BS70334,1,1,1,1,51,3,0
A201201BS70335,1,1,1,1,32,3,0
A201201BS70336,1,1,1,1,42,3,0
A201201BS70339,2,1,1,2,28,3,0
A201201BS70341,1,1,2,2,34,3,2
A201201BS70342,2,1,1,1,38,3,0
A201201BS70343,1,1,1,1,-1,3,0
A201201BS70348,1,1,1,2,32,3,0
A201201BS70349,2,1,1,1,22,3,0
A201201BS70350,1,1,1,1,18,3,0
A201201BS70353,2,1,1,1,25,3,0
A201201BS70354,2,1,1,1,34,3,0
A201201BS70356,1,1,1,1,33,3,0
A201201BS70357,2,1,1,2,25,3,0
A201201BS70359,1,1,1,1,23,3,0
A201201BS70361,1,1,1,1,21,3,0
A201201BS70362,2,1,1,1,51,3,0
A201201BS70363,1,1,1,1,34,3,0
A201201BS70364,1,1,1,1,31,3,0
A201201BS70366,2,1,1,1,30,3,0
A201201BS70369,1,1,1,1,45,3,0
A201201BS70369,2,2,1,1,38,3,0
A201201BS70370,1,1,1,1,46,3,0
A201201BS70371,2,1,1,2,26,3,0
A201201BS70372,1,1,1,1,46,3,0
A201201BS70373,1,1,1,1,24,3,0
A201201BS70374,2,1,1,2,37,3,0
A201201BS70375,2,1,1,1,11,3,0
A201201BS70378,2,1,1,1,48,3,0
A201201BS70379,2,1,1,2,37,3,0
A201201BS70380,2,1,1,1,63,3,0
A201201BS70381,1,1,1,1,31,3,0
A201201BS70381,2,2,1,1,-1,3,0
A201201BS70382,2,1,1,1,31,3,0
A201201BS70383,2,1,1,1,66,3,0
A201201BS70385,2,1,1,1,32,3,0
A201201BS70386,2,1,1,1,39,3,0
A201201BS70388,1,1,1,2,33,2,0
A201201BS70389,2,1,1,1,39,3,0
A201201BS70391,2,1,1,1,42,3,0
A201201BS70393,1,1,1,1,36,3,0
A201201BS70395,1,1,2,2,31,3,1
A201201BS70396,1,1,1,1,25,3,0
A201201BS70397,2,1,1,1,37,3,0
A201201BS70399,1,1,1,1,39,3,0
A201201BS70400,1,1,1,2,47,3,0
A201201BS70403,2,1,1,1,37,2,0
A201201BS70405,1,1,1,1,25,3,0
A201201BS70407,2,1,1,2,47,3,0
A201201BS70409,2,1,1,1,45,3,0
A201201BS70410,2,1,1,2,48,3,0
A201201BS70411,2,1,1,1,24,3,0
A201201BS70412,1,1,1,1,31,3,0
A201201BS70412,1,2,2,1,29,3,1
A201201BS70412,1,3,2,1,18,3,2
A201201BS70412,1,4,2,1,26,3,2
A201201BS70414,1,1,1,1,46,3,0
A201201BS70416,2,1,1,1,34,3,0
A201201BS70417,1,1,1,2,23,3,0
A201201BS70418,1,1,1,1,47,3,0
A201201BS70419,2,1,1,1,31,3,0
A201201BS70420,2,1,1,1,31,3,0
A201201BS70421,2,1,1,1,50,3,0
A201201BS70422,1,1,1,1,22,3,0
A201201BS70422,1,2,2,1,22,3,1
A201201BS70422,1,3,2,1,22,3,2
A201201BS70422,2,4,1,1,-1,3,0
A201201BS70426,2,1,1,1,-1,3,0
A201201BS70427,2,1,1,1,22,3,0
A201201BS70428,2,1,1,1,24,3,0
A201201BS70430,2,1,1,1,36,3,0
A201201BS70434,1,1,1,1,36,3,0
A201201BS70434,1,2,2,2,34,3,1
A201201BS70436,1,1,1,1,30,3,0
A201201BS70436,2,2,1,2,36,3,0
A201201BS70437,1,1,1,2,25,3,0
A201201BS70438,1,1,1,2,20,3,0
A201201BS70440,1,1,1,1,29,3,0
A201201BS70441,2,1,1,1,18,3,0
A201201BS70444,1,1,1,1,-1,3,0
A201201BS70446,2,1,1,2,21,3,0
A201201BS70448,2,1,1,1,27,2,0
A201201BS70449,1,1,1,1,46,3,0
A201201BS70450,1,1,2,1,46,3,2
A201201BS70451,1,1,1,1,26,3,0
A201201BS70451,2,2,1,2,58,3,0
A201201BS70452,2,1,1,2,47,3,0
A201201BS70453,2,1,1,1,52,3,0
A201201BS70454,2,1,1,1,47,3,0
A201201BS70459,2,1,1,2,46,3,0
A201201BS70460,2,1,1,1,37,3,0
A201201BS70461,2,1,1,1,20,3,0
A201201BS70464,2,1,1,1,28,3,0
A201201BS70465,1,1,1,1,48,3,0
A201201BS70466,2,1,1,1,32,3,0
A201201BS70467,1,1,1,1,66,3,0
A201201BS70468,1,1,2,2,-1,3,1
A201201BS70469,2,1,1,1,50,2,0
A201201BS70472,2,1,1,1,20,3,0
A201201BS70473,2,1,1,1,-1,3,0
A201201BS70476,1,1,1,2,45,2,0
A201201BS70478,1,1,1,1,29,3,0
A201201BS70480,2,1,1,1,52,3,0
A201201BS70481,2,1,1,1,44,3,0
A201201BS70482,1,1,1,1,38,3,0
A201201BS70483,2,1,2,2,25,3,2
A201201BS70487,2,1,1,2,41,3,0
A201201BS70489,2,1,1,1,20,2,0
A201201BS70492,2,1,1,1,65,3,0
A201201BS70495,1,1,1,2,44,3,0
A201201BS70496,1,1,1,1,27,3,0
A201201BS70497,1,1,1,1,27,3,0
A201201BS70498,2,1,1,1,31,3,0
A201201BS70499,1,1,1,1,24,3,0
A201201BS70500,1,1,1,1,52,3,0
A201201BS70501,2,1,1,2,32,3,0
A201201BS70504,2,1,1,1,-1,3,0
A201201BS70505,1,1,1,1,25,3,0
A201201BS70506,2,1,1,1,25,3,0
A201201BS70507,1,1,2,1,8,3,2
A201201BS70511,2,1,1,1,36,3,0
A201201BS70514,1,1,1,1,29,3,0
A201201BS70515,1,1,1,1,49,3,0
A201201BS70517,1,1,1,1,58,3,0
A201201BS70518,2,1,1,1,39,3,0
A201201BS70519,1,1,1,1,21,3,0
A201201BS70520,1,1,1,2,28,3,0
A201201BS70521,1,1,1,1,27,3,0
A201201BS70523,2,1,1,1,45,3,0
A201201BS70524,1,1,1,1,51,3,0
A201201BS70524,2,2,1,1,40,3,0
A201201BS70526,1,1,1,1,40,3,0
A201201BS70527,1,1,1,1,32,3,0
A201201BS70528,1,1,1,2,53,3,0
A201201BS70529,1,1,1,1,57,3,0
A201201BS70532,2,1,1,1,32,3,0
A201201BS70535,2,1,1,1,45,3,0
A201201BS70537,2,1,1,1,55,2,0
A201201BS70541,1,1,1,2,34,3,0
A201201BS70543,1,1,1,1,38,3,0
A201201BS70544,1,1,1,1,28,3,0
A201201BS70544,2,2,2,2,26,3,1
A201201BS70545,1,1,1,2,42,3,0
A201201BS70546,2,1,1,1,20,3,0
A201201BS70548,2,1,1,2,29,3,0
A201201BS70550,1,1,1,2,41,3,0
A201201BS70551,1,1,1,1,27,3,0
A201201BS70555,1,1,1,2,30,3,0
A201201BS70555,2,2,1,1,41,3,0
A201201BS70556,2,1,1,2,24,3,0
A201201BS70557,2,1,1,1,29,3,0
A201201BS70558,2,1,1,1,21,3,0
A201201BS70559,1,1,1,1,22,2,0
A201201BS70561,2,1,1,1,20,3,0
A201201BS70563,2,1,1,1,35,3,0
A201201BS70565,1,1,1,1,25,3,0
A201201BS70566,1,1,1,1,42,3,0
A201201BS70566,1,2,2,2,13,3,1
A201201BS70566,1,3,2,2,11,3,2
A201201BS70567,2,1,1,1,37,3,0
A201201BS70568,2,1,3,1,39,3,0
A201201BS70572,2,1,1,2,30,3,0
A201201BS70574,1,1,1,1,30,3,0
A201201BS70575,2,1,1,1,20,3,0
A201201BS70578,1,1,1,1,-1,3,0
A201201BS70579,2,1,1,1,25,3,0
A201201BS70581,2,1,1,1,38,3,0
A201201BS70582,2,1,1,1,24,3,0
A201201BS70582,2,2,2,1,24,3,1
A201201BS70586,2,1,1,2,55,3,0
A201201BS70589,2,1,1,2,29,3,0
A201201BS70590,1,1,1,1,34,3,0
A201201BS70592,1,1,1,1,63,3,0
A201201BS70593,1,1,1,1,62,3,0
A201201BS70594,2,1,1,1,51,3,0
A201201BS70596,2,1,1,1,20,3,0
A201201BS70597,1,1,1,1,75,2,0
A201201BS70598,2,1,1,1,28,3,0
A201201BS70601,2,1,1,1,36,3,0
A201201BS70602,1,1,1,1,27,3,0
A201201BS70603,2,1,1,2,31,3,0
A201201BS70604,1,1,1,1,42,3,0
A201201BS70605,2,1,1,2,52,3,0
A201201BS70607,2,1,1,1,29,3,0
A201201BS70609,2,1,1,1,27,2,0
A201201BS70611,1,1,1,1,30,3,0
A201201BS70612,1,1,1,1,-1,3,0
A201201BS70613,2,1,1,1,42,2,0
A201201BS70614,2,1,1,1,8,3,0
A201201BS70615,2,1,1,1,43,3,0
