Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Car_Passenger
A201206G064300,2,2,2,2,19,3,1
A201206G064305,2,1,1,1,32,3,0
A201206G064325,2,1,1,1,54,3,0
A201206G064325,2,2,2,1,33,3,2
A201206G064411,2,1,1,1,52,3,0
A201206G064650,2,1,1,1,45,3,0
A201206G064650,2,2,2,2,47,3,1
A201206G064650,2,3,2,1,27,3,2
A201206G064838,2,1,1,2,36,3,0
A201206G064838,2,2,2,2,12,3,2
A201206G064838,2,3,2,1,6,3,2
A201206G064911,1,1,2,2,70,3,1
A201206G064987,1,1,1,1,46,3,0
A201206G064987,1,5,2,2,17,3,2
A201206G064987,2,2,1,1,35,3,0
A201206G064987,2,3,2,2,30,3,1
A201206G064987,2,4,2,2,11,3,2
A201206G065143,2,1,2,2,51,3,1
A201206G065211,2,1,1,1,28,3,0
A201206G065266,2,1,1,1,33,3,0
A201206G065299,2,1,2,2,54,3,2
A201206G065352,2,1,1,1,36,3,0
A201206G065352,2,2,2,1,30,3,1
A201206G065352,2,3,2,1,30,3,2
A201206G065544,2,1,1,1,52,3,0
A201206G065544,2,2,2,2,3,3,1
A201206G065818,2,1,1,2,26,3,0
A201206G065856,2,1,2,2,71,3,1
A201206G065950,2,1,1,1,21,3,0
A201206G066062,2,1,1,1,42,3,0
A201206G066136,1,1,1,1,42,3,0
A201206G066136,1,3,2,2,48,3,1
A201206G066136,2,2,1,1,66,3,0
A201206G066147,2,1,1,1,43,3,0
A201206G066165,1,1,3,1,36,1,0
A201206G066222,1,1,1,1,19,3,0
A201206G066222,2,2,1,2,44,3,0
A201206G066786,1,1,1,1,84,3,0
A201206G066786,2,2,2,1,29,3,1
A201206G066833,2,1,1,1,18,3,0
A201206G066890,1,1,1,1,35,3,0
A201206G067025,1,1,1,1,54,3,0
A201206G067077,2,1,1,1,37,2,0
A201206G067131,1,1,1,1,19,3,0
A201206G067131,1,2,2,1,18,3,1
A201206G067131,1,3,2,1,18,3,2
A201206G067318,2,1,2,1,55,3,1
A201206G067360,1,1,1,1,19,3,0
A201206G067360,1,3,2,1,23,3,2
A201206G067360,1,4,2,1,3,3,2
A201206G067360,2,2,1,1,46,2,0
A201206G067421,1,1,1,1,21,3,0
A201206G067453,2,1,2,1,34,3,2
A201206G067453,2,2,2,1,33,3,2
A201206G067453,2,3,2,2,61,3,1
A201206G067532,2,1,1,1,52,3,0
A201206G067651,1,1,1,2,24,3,0
A201206G067716,1,1,3,1,39,2,0
A201206G067769,2,1,1,1,21,3,0
A201206G067774,1,1,1,2,36,3,0
A201206G067774,1,2,2,2,64,3,1
A201206G067929,2,1,1,1,41,3,0
A201206G068096,2,1,1,2,45,3,0
A201206G068127,2,1,1,1,35,3,0
A201206G068227,2,1,1,1,55,3,0
A201206G068308,2,1,1,1,32,2,0
A201206G068370,2,1,1,1,23,2,0
A201206G068616,1,1,1,2,33,3,0
A201206G068616,2,2,1,1,30,3,0
A201206G068675,2,1,1,1,56,3,0
A201206G068845,2,1,1,1,37,3,0
A201206G068845,2,2,2,2,32,3,1
A201206GJ56435,1,1,1,2,24,3,0
A201206J055644,1,2,2,2,24,3,1
A201206J055644,2,1,1,2,25,3,0
A201206J055727,2,1,1,2,34,3,0
A201206J055727,2,2,2,2,34,3,1
A201206J055748,2,1,1,1,41,3,0
A201206J055748,2,2,2,1,45,3,1
A201206J055794,2,1,1,1,26,3,0
A201206J055989,2,1,1,2,36,3,0
A201206J055989,2,2,2,1,9,3,2
A201206J055989,2,3,2,2,10,3,2
A201206J056013,1,1,1,2,45,3,0
A201206J056013,1,2,2,2,11,3,1
A201206J056232,2,1,1,1,30,3,0
A201206J056269,2,1,1,2,48,3,0
A201206J056306,1,1,1,1,34,3,0
A201206J056306,2,2,1,1,25,3,0
A201206J056336,1,1,1,1,91,3,0
A201206J056336,2,2,1,1,74,3,0
A201206J056336,2,3,2,2,71,3,1
A201206J056392,2,1,1,2,9,3,0
A201206J056407,1,1,1,1,29,3,0
A201206J056407,2,2,1,2,57,2,0
A201206J056414,2,1,1,1,55,3,0
A201206J056728,1,1,1,1,17,3,0
A201206J056797,1,1,1,1,40,3,0
A201206J057019,1,1,3,1,69,3,0
A201206J057059,2,1,1,2,23,3,0
A201206J057076,1,1,1,1,82,3,0
A201206J057143,2,1,1,1,62,3,0
A201206J057143,2,2,2,2,54,3,1
A201206J057181,1,1,1,1,13,3,0
A201206J057458,1,1,1,2,22,3,0
A201206J057458,2,2,1,1,32,3,0
A201206J057543,1,1,1,2,85,3,0
A201206J057582,2,1,1,1,46,3,0
A201206J057680,1,1,1,2,46,3,0
A201206J057926,1,1,1,1,48,3,0
A201206J057936,2,1,1,2,48,3,0
A201206J057951,1,1,1,1,39,3,0
A201206J057964,2,1,1,1,34,3,0
A201206J058041,2,1,1,1,46,3,0
A201206J058060,2,1,1,1,56,3,0
A201206J058146,2,1,1,1,53,3,0
A201206J058150,2,1,1,1,22,3,0
A201206J058184,2,1,1,1,44,3,0
A201206J058190,1,1,1,2,40,3,0
A201206J058268,1,1,1,1,16,3,0
A201206J058283,1,1,2,1,29,3,1
A201206J058390,2,1,1,1,23,3,0
A201206J058400,1,1,1,2,49,3,0
A201206J058440,1,1,1,1,21,2,0
A201206J058440,2,2,1,2,30,3,0
A201206J058550,2,1,1,2,53,3,0
A201206J058563,1,1,1,1,17,3,0
A201206J058651,1,1,1,1,43,3,0
A201206J058662,1,1,1,1,20,3,0
A201206J058665,1,1,1,1,14,3,0
A201206J058699,2,1,1,1,49,3,0
A201206J058702,2,1,1,1,12,2,0
A201206J058741,2,1,1,1,26,3,0
A201206J058875,2,1,1,1,61,3,0
A201206J058961,2,1,1,2,46,3,0
A201206J059174,2,1,1,1,49,3,0
A201206J059193,2,1,1,1,17,3,0
A201206J059292,1,1,1,2,14,3,0
A201206J059331,1,1,1,2,29,3,0
A201206J059331,2,2,1,1,29,3,0
A201206J059701,1,1,1,1,90,3,0
A201206J059701,2,2,2,1,30,3,1
A201206J059824,2,1,1,2,26,3,0
A201206J059824,2,2,2,2,25,3,1
A201206J059828,2,1,1,1,37,3,0
A201206J059837,2,1,1,1,39,3,0
A201206J060120,2,1,1,1,35,3,0
A201206J060193,2,1,1,1,41,3,0
A201206J060238,2,1,1,1,50,3,0
A201206J060311,2,1,1,1,18,3,0
A201206J060315,1,1,1,1,11,3,0
A201206J060360,1,1,1,1,33,3,0
A201206J060360,1,3,2,1,27,3,1
A201206J060360,2,2,1,1,20,3,0
A201206J060406,2,1,1,1,42,3,0
A201206J060518,2,1,1,1,48,3,0
A201206J060529,1,1,1,1,63,3,0
A201206J060529,1,2,2,2,65,3,1
A201206J060529,2,3,1,1,65,3,0
A201206J060532,2,1,1,1,26,3,0
A201206J060595,1,1,1,2,22,3,0
A201206J060694,2,1,1,2,22,3,0
A201206J060716,1,1,1,1,82,3,0
A201206J060716,1,2,2,2,68,3,1
A201206J060728,1,1,1,2,30,3,0
A201206J060735,2,1,1,1,16,3,0
A201206J060803,2,1,1,1,58,3,0
A201206J061016,2,1,1,1,48,2,0
A201206J061309,1,1,1,1,40,3,0
A201206J061309,2,2,1,2,64,3,0
A201206J061309,2,3,2,2,3,3,2
A201206J061354,2,1,1,1,34,2,0
A201206J061638,2,1,1,1,72,3,0
A201206J061647,1,1,1,2,24,3,0
A201206J061647,2,2,1,2,57,3,0
A201206J061677,2,1,1,1,39,3,0
A201206J061710,2,1,1,2,41,3,0
A201206J061914,1,1,1,1,44,3,0
A201206J061914,2,2,1,1,19,2,0
A201206J061995,1,1,1,2,6,2,0
A201206J062128,2,1,1,1,27,3,0
A201206J062130,2,1,1,1,21,2,0
A201206J062139,1,1,1,2,23,3,0
A201206J062159,1,1,1,1,60,3,0
A201206J062186,1,1,1,1,60,3,0
A201206J062225,1,1,1,1,25,3,0
A201206J062377,1,1,1,1,51,3,0
A201206J062377,2,2,1,1,41,3,0
A201206J062543,1,1,1,1,22,3,0
A201206J062543,2,2,1,1,23,3,0
A201206J062586,2,1,2,2,31,3,2
A201206J062594,2,1,1,1,25,3,0
A201206J062730,2,1,1,1,51,3,0
A201206J062903,2,1,1,2,40,3,0
A201206J062903,2,2,2,1,14,3,1
A201206J063003,2,1,1,1,38,3,0
A201206J063023,1,1,1,1,82,2,0
A201206J063148,1,1,1,1,27,3,0
A201206J063148,1,2,2,1,40,3,1
A201206J063227,1,1,2,2,38,3,1
A201206J063296,2,1,1,2,42,3,0
A201206J063399,1,1,1,1,44,2,0
A201206J063636,1,1,1,1,19,3,0
A201206J063636,1,2,2,1,18,3,2
A201206J063636,1,3,2,1,18,3,2
A201206J063636,1,4,2,1,18,3,1
A201206J063683,2,1,1,2,38,3,0
A201206J063703,1,1,1,1,24,3,0
A201206J063703,1,3,2,1,24,3,1
A201206J063703,2,2,1,2,20,3,0
A201206J063713,2,1,2,2,35,2,1
A201206J063775,2,1,1,2,33,3,0
A201206J063775,2,2,2,2,54,3,1
A201206J063890,2,1,1,1,55,2,0
A201206J063975,2,1,1,1,34,3,0
A201206J064002,1,1,1,2,64,3,0
A201206J064014,1,1,1,1,43,2,0
A201206J064172,2,1,1,1,34,3,0
A201206J064174,2,1,1,1,55,3,0
A201206J064249,1,1,1,1,42,2,0
A201206J064258,2,1,1,2,75,3,0
A201206J064349,2,1,1,2,29,3,0
A201206J064464,2,1,2,1,7,3,2
A201206J064489,2,1,1,1,50,3,0
A201206J064499,1,1,1,2,36,3,0
A201206J064504,2,1,1,1,20,3,0
A201206J064521,1,1,1,1,44,2,0
A201206J064525,2,1,1,1,32,3,0
A201206J064606,1,1,1,2,21,3,0
A201206J064609,1,1,1,2,41,3,0
A201206J064609,2,2,1,1,64,3,0
A201206J064639,1,1,1,2,50,3,0
A201206J064639,2,2,1,2,51,3,0
A201206J064781,2,1,1,2,46,3,0
A201206J064813,1,1,1,2,25,3,0
A201206J064851,1,1,1,2,25,3,0
A201206J064851,2,2,1,2,26,3,0
A201206J065017,1,1,1,2,55,3,0
A201206J065039,1,1,1,2,40,3,0
A201206J065039,2,2,1,2,23,3,0
A201206J065073,1,1,1,1,15,3,0
A201206J065131,2,1,1,1,16,3,0
A201206J065194,1,1,1,1,21,3,0
A201206J065194,1,2,2,1,70,3,1
A201206J065225,2,1,1,2,24,3,0
A201206J065225,2,2,2,2,52,3,1
A201206J065225,2,3,2,1,50,3,2
A201206J065225,2,4,2,1,39,3,2
A201206J065262,1,1,1,2,41,3,0
A201206J065443,1,1,1,1,62,3,0
A201206J065443,1,3,2,2,52,3,1
A201206J065443,1,4,2,1,57,3,2
A201206J065443,2,2,1,1,64,3,0
A201206J065547,2,1,1,1,29,3,0
A201206J065669,1,1,2,1,30,3,2
A201206J065669,1,2,2,1,27,2,2
A201206J065685,1,1,1,1,43,3,0
A201206J065763,2,1,3,1,22,3,0
A201206J065877,1,1,1,1,77,3,0
A201206J065947,2,1,1,2,38,3,0
A201206J066137,2,1,1,2,74,3,0
A201206J066164,1,1,1,1,37,3,0
A201206J066242,1,2,2,1,32,3,1
A201206J066242,2,1,1,2,42,3,0
A201206J066253,1,1,1,2,35,3,0
A201206J066253,2,2,1,1,52,3,0
A201206J066253,2,3,2,1,24,3,1
A201206J066255,2,1,2,2,23,2,0
A201206J066318,1,1,2,1,76,3,1
A201206J066323,2,1,1,1,26,2,0
A201206J066331,2,1,1,1,56,3,0
A201206J066335,2,1,1,1,58,3,0
A201206J066418,2,1,1,1,26,3,0
A201206J066418,2,2,2,2,7,3,2
A201206J066748,2,1,1,1,37,3,0
A201206J066824,2,1,1,2,62,3,0
A201206J066824,2,2,2,2,22,3,1
A201206J066902,1,1,1,1,45,3,0
A201206J066902,1,4,2,1,39,3,1
A201206J066902,2,2,1,2,28,3,0
A201206J066902,2,3,2,1,39,3,1
A201206J066986,2,1,1,1,21,3,0
A201206J066986,2,2,2,1,21,3,1
A201206J067001,2,1,1,1,51,3,0
A201206J067186,2,1,1,2,42,2,0
A201206J067474,1,1,1,2,66,3,0
A201206J067474,2,2,1,1,77,3,0
A201206J067519,2,1,1,1,23,3,0
A201206J067522,2,1,1,2,74,3,0
A201206J067579,2,1,1,1,76,3,0
A201206J067595,2,1,1,2,54,3,0
A201206J067696,2,1,1,2,48,3,0
A201206J067842,2,1,1,1,34,3,0
A201206J067854,2,1,1,1,30,3,0
A201206J067855,2,1,1,1,38,3,0
A201206J068008,2,1,1,2,28,3,0
A201206J068017,2,1,1,2,18,3,0
A201206J068186,1,1,1,2,61,3,0
A201206J068488,2,1,1,1,30,3,0
A201206J068488,2,2,2,2,27,3,1
A201206J068488,2,3,2,2,4,3,2
A201206J068508,1,1,1,1,50,3,0
A201206J068514,2,1,2,2,51,3,2
A201206J068672,2,1,1,1,43,3,0
A201206J068748,2,1,1,1,46,3,0
A201206J068797,1,1,2,2,20,3,1
A201206J068948,1,1,2,2,24,3,2
A201206K055211,2,1,2,1,19,3,2
A201206K055211,2,2,2,2,19,3,2
A201206K055822,2,1,1,1,48,3,0
A201206K055850,1,1,1,1,28,2,0
A201206K055879,2,1,1,1,75,3,0
A201206K055879,2,2,2,2,69,3,1
A201206K055945,2,1,1,1,58,3,0
A201206K055947,2,1,1,1,35,3,0
A201206K055977,1,1,1,2,87,3,0
A201206K055977,2,2,2,2,85,1,1
A201206K055979,2,1,1,1,18,1,0
A201206K055987,2,1,2,2,47,3,1
A201206K055991,1,1,1,1,84,3,0
A201206K055991,1,3,2,1,71,3,1
A201206K055991,2,2,2,2,45,3,1
A201206K055991,2,4,2,2,37,3,1
A201206K056001,2,1,1,1,23,3,0
A201206K056006,2,1,1,1,26,3,0
A201206K056006,2,2,2,1,23,3,1
A201206K056035,1,1,1,1,41,3,0
A201206K056035,2,2,2,2,4,3,2
A201206K056091,2,1,1,1,41,3,0
A201206K056114,2,1,1,1,16,3,0
A201206K056116,2,1,1,2,33,3,0
A201206K056145,2,1,1,1,47,3,0
A201206K056146,1,1,1,1,34,3,0
A201206K056307,1,1,1,1,38,3,0
A201206K056307,2,2,1,1,51,3,0
A201206K056318,1,1,1,2,67,3,0
A201206K056318,2,2,1,2,43,3,0
A201206K056345,2,1,1,1,29,3,0
A201206K056349,2,1,1,2,34,3,0
A201206K056349,2,2,2,2,48,3,1
A201206K056349,2,3,2,1,2,3,2
A201206K056349,2,4,2,1,2,3,2
A201206K056373,1,1,1,1,38,2,0
A201206K056444,2,1,1,2,39,3,0
A201206K056547,2,1,2,2,26,3,1
A201206K056613,1,1,1,1,21,3,0
A201206K056613,2,2,1,1,19,3,0
A201206K056617,1,1,1,2,38,3,0
A201206K056628,1,1,3,1,35,3,0
A201206K056641,2,1,1,1,23,3,0
A201206K056708,1,1,1,1,25,3,0
A201206K056710,1,1,2,2,8,3,2
A201206K056781,2,1,1,1,34,3,0
A201206K056784,2,1,1,1,46,3,0
A201206K056802,1,1,2,1,30,2,0
A201206K056803,2,1,1,2,21,3,0
A201206K056850,1,1,2,2,22,3,1
A201206K057020,1,1,1,1,25,3,0
A201206K057020,2,2,1,2,34,3,0
A201206K057151,2,1,1,1,30,3,0
A201206K057204,2,1,1,1,48,3,0
A201206K057204,2,2,2,1,30,3,1
A201206K057242,1,1,2,2,17,3,1
A201206K057242,2,2,1,2,25,3,0
A201206K057279,2,1,1,1,43,3,0
A201206K057324,2,1,1,1,29,3,0
A201206K057476,2,1,2,2,9,3,1
A201206K057591,1,1,1,1,28,3,0
A201206K057733,2,1,1,1,38,3,0
A201206K057738,1,1,1,1,52,3,0
A201206K057742,2,1,1,1,25,3,0
A201206K057762,1,1,1,1,18,3,0
A201206K057828,2,1,1,2,24,3,0
A201206K057880,2,1,1,2,50,3,0
A201206K057905,1,1,2,1,25,3,1
A201206K057925,2,1,1,1,67,3,0
A201206K058317,1,1,3,2,10,3,0
A201206K058317,1,2,3,2,6,3,0
A201206K058317,1,3,1,1,18,3,0
A201206K058427,1,1,1,1,18,3,0
A201206K058443,1,5,3,2,18,3,0
A201206K058443,2,1,1,1,53,3,0
A201206K058443,2,2,2,1,16,3,2
A201206K058443,2,3,2,1,59,3,2
A201206K058443,2,4,2,1,18,3,2
A201206K058453,2,1,1,1,51,3,0
A201206K058494,2,1,1,1,50,3,0
A201206K058494,2,2,2,2,23,2,1
A201206K058506,2,1,2,2,8,3,2
A201206K058506,2,2,1,1,32,3,0
A201206K058601,2,1,1,1,46,3,0
A201206K058680,1,1,1,2,42,3,0
A201206K058695,2,1,1,1,45,3,0
A201206K058704,1,1,1,1,25,2,0
A201206K058742,2,1,1,2,26,3,0
A201206K058752,2,1,1,1,16,3,0
A201206K058769,2,1,1,2,21,3,0
A201206K058821,1,1,1,1,30,3,0
A201206K058822,2,1,1,1,11,3,0
A201206K058864,1,1,2,1,16,3,1
A201206K058864,1,2,2,2,34,3,2
A201206K058894,1,1,1,1,51,3,0
A201206K058937,1,1,1,1,8,2,0
A201206K058954,1,1,1,2,28,2,0
A201206K058954,1,2,2,1,29,3,2
A201206K059012,2,1,2,2,69,3,1
A201206K059020,1,1,1,1,40,3,0
A201206K059020,2,2,1,1,38,3,0
A201206K059044,1,1,1,1,71,3,0
A201206K059044,2,2,1,2,31,3,0
A201206K059044,2,3,2,1,32,3,1
A201206K059049,2,1,1,1,19,2,0
A201206K059061,1,1,1,2,52,3,0
A201206K059061,2,2,1,2,22,3,0
A201206K059107,2,1,3,2,19,3,0
A201206K059165,2,1,1,1,44,3,0
A201206K059205,2,1,2,2,53,3,1
A201206K059274,2,1,1,1,57,3,0
A201206K059334,1,1,1,1,50,3,0
A201206K059336,1,1,2,2,7,3,2
A201206K059448,1,1,1,2,24,3,0
A201206K059490,1,2,2,2,26,3,1
A201206K059490,1,3,2,2,12,3,2
A201206K059490,2,1,1,2,34,3,0
A201206K059515,2,1,1,1,19,2,0
A201206K059626,2,1,1,1,57,3,0
A201206K059626,2,2,2,1,52,3,1
A201206K059629,1,1,1,2,38,3,0
A201206K059629,2,2,1,1,24,3,0
A201206K059659,2,1,1,1,68,3,0
A201206K059716,2,1,1,1,52,2,0
A201206K059965,2,1,1,2,43,3,0
A201206K060028,2,1,1,1,18,3,0
A201206K060028,2,2,2,1,19,3,2
A201206K060028,2,3,2,1,19,3,2
A201206K060028,2,4,2,1,18,3,1
A201206K060033,2,1,1,1,18,2,0
A201206K060116,2,1,1,1,29,3,0
A201206K060149,2,1,1,1,50,2,0
A201206K060235,1,1,1,2,67,3,0
A201206K060235,2,2,1,1,22,3,0
A201206K060240,1,2,2,1,46,3,1
A201206K060240,2,1,1,1,28,3,0
A201206K060240,2,3,2,1,25,3,1
A201206K060309,2,1,1,1,22,3,0
A201206K060309,2,2,2,1,3,3,2
A201206K060324,2,1,1,1,41,3,0
A201206K060333,1,1,2,2,9,3,2
A201206K060339,1,1,1,1,38,3,0
A201206K060453,2,1,2,2,30,3,1
A201206K060764,2,1,1,1,30,3,0
A201206K060798,2,1,1,2,46,3,0
A201206K060821,2,1,1,2,55,3,0
A201206K060821,2,2,2,2,19,3,1
A201206K060846,2,1,1,2,20,3,0
A201206K060886,2,1,1,1,36,2,0
A201206K060943,2,1,1,1,37,3,0
A201206K061044,2,1,1,1,41,3,0
A201206K061333,1,1,1,1,44,3,0
A201206K061333,1,3,2,2,43,3,1
A201206K061333,2,2,1,2,49,3,0
A201206K061352,2,1,1,1,22,3,0
A201206K061355,2,1,1,1,13,3,0
A201206K061384,1,1,1,1,18,3,0
A201206K061387,2,1,1,1,43,3,0
A201206K061417,1,1,1,1,46,3,0
A201206K061417,2,2,1,1,46,3,0
A201206K061417,2,3,2,2,52,3,1
A201206K061443,2,1,2,2,24,3,1
A201206K061645,1,1,1,1,17,3,0
A201206K061646,2,1,1,1,22,3,0
A201206K061740,2,1,1,1,30,3,0
A201206K061740,2,2,2,2,32,3,2
A201206K061740,2,3,2,1,1,3,2
A201206K061810,1,3,2,2,30,3,2
A201206K061810,2,1,1,1,33,3,0
A201206K061810,2,2,2,1,23,3,1
A201206K061812,1,1,1,2,24,3,0
A201206K061899,1,1,1,1,59,3,0
A201206K061952,1,1,1,1,22,3,0
A201206K061994,2,1,1,1,54,3,0
A201206K062069,2,1,1,2,47,3,0
A201206K062120,2,1,2,2,44,3,1
A201206K062120,2,2,1,1,44,3,0
A201206K062144,2,1,2,2,16,3,2
A201206K062289,1,1,1,1,57,3,0
A201206K062289,2,2,1,1,56,3,0
A201206K062323,1,1,1,1,41,3,0
A201206K062323,1,4,2,2,3,3,2
A201206K062323,2,2,1,1,72,3,0
A201206K062323,2,3,2,1,72,3,1
A201206K062346,1,5,2,1,34,3,2
A201206K062346,2,1,1,2,24,3,0
A201206K062346,2,2,2,1,32,3,1
A201206K062346,2,3,2,1,25,3,2
A201206K062346,2,4,2,1,27,3,2
A201206K062352,2,1,1,1,25,3,0
A201206K062379,2,1,1,1,53,3,0
A201206K062437,2,1,1,2,34,3,0
A201206K062545,2,1,1,2,25,3,0
A201206K062655,1,1,1,2,66,3,0
A201206K062655,2,2,1,1,34,3,0
A201206K062655,2,3,2,1,36,3,1
A201206K062801,2,1,1,1,17,3,0
A201206K062805,1,1,1,2,22,3,0
A201206K062805,1,3,2,1,24,3,1
A201206K062805,2,2,1,1,44,3,0
A201206K062810,1,1,1,2,26,3,0
A201206K062810,2,2,1,1,30,3,0
A201206K062857,1,1,1,1,20,2,0
A201206K062988,1,1,1,1,34,3,0
A201206K062988,2,2,1,2,55,3,0
A201206K062988,2,3,2,2,79,3,1
A201206K063094,1,1,1,2,20,3,0
A201206K063119,2,1,1,1,54,3,0
A201206K063158,2,1,1,1,45,3,0
A201206K063158,2,2,2,2,38,3,1
A201206K063183,2,1,1,1,28,3,0
A201206K063217,2,1,1,1,6,3,0
A201206K063234,1,1,2,2,16,3,2
A201206K063240,2,1,1,1,45,3,0
A201206K063285,2,1,1,1,33,2,0
A201206K063460,2,1,1,1,48,3,0
A201206K063518,2,1,1,1,46,3,0
A201206K063533,2,1,2,2,26,3,1
A201206K063628,1,1,1,1,27,3,0
A201206K063628,2,2,1,1,21,3,0
A201206K063628,2,3,2,1,16,3,1
A201206K063692,2,1,2,1,22,3,1
A201206K063692,2,2,2,1,34,3,2
A201206K063692,2,3,2,1,7,3,2
A201206K063767,2,1,1,1,49,3,0
A201206K063811,2,1,1,1,44,3,0
A201206K063812,2,1,3,1,44,3,0
A201206K063851,1,1,2,2,20,3,1
A201206K063940,1,1,1,1,36,2,0
A201206K063940,2,2,1,1,58,3,0
A201206K064095,1,1,1,1,7,3,0
A201206K064160,2,1,1,1,31,3,0
A201206K064176,2,1,1,1,34,2,0
A201206K064232,2,1,1,2,46,3,0
A201206K064236,2,1,1,1,45,3,0
A201206K064246,2,1,1,1,59,3,0
A201206K064278,2,1,1,2,56,3,0
A201206K064342,2,1,1,2,22,3,0
A201206K064370,2,1,1,1,54,3,0
A201206K064370,2,2,2,2,41,3,2
A201206K064370,2,3,2,1,41,3,2
A201206K064370,2,4,2,1,11,3,1
A201206K064435,2,1,1,1,21,3,0
A201206K064437,2,1,1,1,16,3,0
A201206K064471,2,1,1,1,40,3,0
A201206K064512,1,1,1,2,32,3,0
A201206K064544,1,1,1,2,50,3,0
A201206K064555,1,1,1,1,47,3,0
A201206K064555,1,7,2,1,35,3,1
A201206K064555,2,2,1,1,45,3,0
A201206K064555,2,3,2,1,28,3,2
A201206K064555,2,4,2,1,35,3,2
A201206K064555,2,5,2,1,28,3,1
A201206K064555,2,6,2,1,19,3,2
A201206K064580,2,1,1,1,31,2,0
A201206K064615,2,1,1,1,37,3,0
A201206K064653,2,1,1,1,32,3,0
A201206K064699,1,1,1,1,35,3,0
A201206K064699,2,2,1,1,52,3,0
A201206K064731,2,1,1,1,72,3,0
A201206K064752,2,1,1,1,54,3,0
A201206K064800,2,1,1,1,74,2,0
A201206K064845,2,1,1,1,31,3,0
A201206K064858,2,1,1,2,33,3,0
A201206K064895,1,1,1,1,21,2,0
A201206K064895,1,2,2,1,17,3,1
A201206K064907,1,1,1,2,19,3,0
A201206K064907,1,2,2,2,26,3,1
A201206K064932,1,1,1,1,34,3,0
A201206K064944,1,1,1,1,26,3,0
A201206K064944,1,2,2,2,26,3,2
A201206K065054,1,1,1,1,28,3,0
A201206K065081,2,1,1,1,32,3,0
A201206K065094,1,1,1,1,28,3,0
A201206K065096,2,1,1,1,57,3,0
A201206K065171,1,2,2,1,42,3,2
A201206K065171,1,3,2,1,18,3,2
A201206K065171,1,4,2,2,37,3,2
A201206K065171,1,5,2,1,21,3,2
A201206K065171,1,6,2,1,23,3,2
A201206K065171,1,7,2,1,21,3,2
A201206K065171,1,8,2,2,19,3,2
A201206K065171,2,1,1,1,31,3,0
A201206K065184,2,1,1,1,39,3,0
A201206K065221,2,1,2,1,6,3,2
A201206K065221,2,2,2,2,45,3,2
A201206K065232,2,1,1,1,21,2,0
A201206K065367,2,1,1,1,26,3,0
A201206K065437,1,1,1,2,36,3,0
A201206K065437,1,3,2,1,37,3,1
A201206K065437,2,2,1,1,65,2,0
A201206K065447,2,1,1,1,50,3,0
A201206K065459,1,1,2,2,20,3,2
A201206K065459,2,2,1,2,47,3,0
A201206K065645,2,1,1,1,16,3,0
A201206K065711,2,1,1,1,24,3,0
A201206K065728,2,1,1,2,32,3,0
A201206K065728,2,2,2,2,21,3,2
A201206K065801,1,1,1,2,19,3,0
A201206K065801,2,2,1,1,50,3,0
A201206K065802,2,1,1,1,32,2,0
A201206K065974,2,1,1,1,20,3,0
A201206K066072,2,1,1,2,43,3,0
A201206K066111,2,1,1,1,35,3,0
A201206K066139,2,1,1,1,39,3,0
A201206K066285,1,1,1,1,23,2,0
A201206K066343,2,1,1,1,21,3,0
A201206K066396,2,1,2,1,36,3,1
A201206K066413,2,1,1,1,9,3,0
A201206K066428,1,1,1,1,30,3,0
A201206K066461,2,1,1,1,55,2,0
A201206K066471,2,1,1,2,71,3,0
A201206K066493,2,1,1,1,31,3,0
A201206K066507,1,1,2,2,35,3,1
A201206K066545,2,1,1,1,24,3,0
A201206K066722,2,1,1,1,55,3,0
A201206K066724,1,1,1,1,19,3,0
A201206K066805,1,1,1,2,17,2,0
A201206K066947,2,1,1,1,31,3,0
A201206K067000,2,1,1,1,48,3,0
A201206K067039,2,1,1,2,46,3,0
A201206K067039,2,2,2,2,23,3,1
A201206K067039,2,3,2,2,25,3,2
A201206K067143,1,1,3,1,30,3,0
A201206K067240,2,1,3,1,15,3,0
A201206K067328,2,1,1,1,24,3,0
A201206K067373,2,1,1,1,21,3,0
A201206K067373,2,2,2,1,19,3,1
A201206K067387,2,1,1,1,22,3,0
A201206K067389,2,1,1,1,24,3,0
A201206K067397,2,1,1,1,29,3,0
A201206K067401,1,1,3,1,56,3,0
A201206K067407,2,1,1,1,34,3,0
A201206K067414,2,1,1,1,33,3,0
A201206K067494,1,1,1,1,27,2,0
A201206K067518,1,1,1,2,12,3,0
A201206K067581,1,2,2,2,26,3,2
A201206K067581,1,3,2,2,32,3,2
A201206K067581,1,4,2,2,25,3,2
A201206K067581,2,1,1,1,20,3,0
A201206K067642,2,1,1,1,30,3,0
A201206K067678,1,1,1,2,70,3,0
A201206K067692,1,1,1,1,21,3,0
A201206K067692,2,2,1,1,23,3,0
A201206K067798,2,1,1,1,51,3,0
A201206K067811,1,1,1,1,20,3,0
A201206K067811,2,2,1,1,48,3,0
A201206K067886,2,1,1,2,44,3,0
A201206K067886,2,2,2,1,25,3,1
A201206K067955,2,1,1,1,41,3,0
A201206K067977,2,1,2,1,21,3,2
A201206K067977,2,2,2,1,19,3,1
A201206K068072,1,1,1,1,30,3,0
A201206K068231,2,1,1,2,47,3,0
A201206K068307,2,1,1,1,41,3,0
A201206K068438,1,1,2,2,27,3,1
